"img-link href","photo-count","list-view-price","list-view-date","left","celly","celly 2","celly 3","celly 4","eids-badge__description","he-lazy-image src","eids-badge__label","list-view-location","img-wrp href","he-lazy-image src 2","he-lazy-image src 3","listing-card--owner-info__firm-name","listing-card--owner-info__name","list-view-header"
"https://www.hepsiemlak.com/istanbul-besiktas-yildiz-kiralik/daire/121012-576","23","115.500","14-05-2025","Kiralık Daire","1 +
                          1","80 m²","Sıfır Bina","4. Kat","Elektronik İlan Doğrulama Sistemi yetki doğrulaması yapılmıştır.","https://hecdn01.hemlak.com/img/eids-logo-mini.png","EİDS onaylı","İstanbul / Beşiktaş / Yıldız Mah.","https://www.hepsiemlak.com/emlak-ofisi/fdn-gayrimenkul-real-estate-121012/ummet-fidan-2769229","https://hecdnnw.hemlak.com/mncropresize/77/67/firmuser/9/2/2/9/6/7/2/04d271d2-99cf-4e3c-8edf-2bb3bb1e9b14.jpg","https://hecdnnw.hemlak.com/mncropresize/77/67/logo/2/1/0/1/2/1/4e1eb57f-e84b-4607-8b87-d4bd2a68e491.jpg","Fdn Gayrimenkul Real Estate","Ümmet
          Fidan",""
"https://www.hepsiemlak.com/istanbul-kucukcekmece-kemalpasa-kiralik/daire/146033-37","46","23.000","04-05-2025","Kiralık Daire","3 +
                          1","125 m²","35
                        Yaşında","Ara Kat","Elektronik İlan Doğrulama Sistemi yetki doğrulaması yapılmıştır.","https://hecdn01.hemlak.com/img/eids-logo-mini.png","EİDS onaylı","İstanbul / Küçükçekmece / Kemalpaşa Mah.","https://www.hepsiemlak.com/emlak-ofisi/etap-pe-146033","https://hecdnnw.hemlak.com/mncropresize/77/67/logo/3/3/0/6/4/1/a0c36610-2879-4870-8987-72726321c3b4.jpg","","Etap Pe","",""
"https://www.hepsiemlak.com/istanbul-beyoglu-hacimimi-kiralik/daire/104642-2726","48","100.000","29-05-2025","Kiralık Daire","2 +
                          1","90 m²","3
                        Yaşında","1. Kat","Elektronik İlan Doğrulama Sistemi yetki doğrulaması yapılmıştır.","https://hecdn01.hemlak.com/img/eids-logo-mini.png","EİDS onaylı","İstanbul / Beyoğlu / Hacımimi Mah.","https://www.hepsiemlak.com/emlak-ofisi/realtyone-property-management-104642/hasan-aydin-2202440","https://hecdnnw.hemlak.com/mncropresize/77/67/firmuser/0/4/4/2/0/2/2/53b58480-fbea-42d8-98f7-d5e689a1f92e.jpg","https://hecdnnw.hemlak.com/mncropresize/77/67/logo/2/4/6/4/0/1/2f8a8129-2cfb-4bdb-a379-651cd2cc8528.jpg","Realtyone Property Management","Hasan
          Aydın",""
"https://www.hepsiemlak.com/istanbul-besiktas-dikilitas-kiralik/residence/98015-2194","44","75.000","03-06-2025","Kiralık Residence","1 +
                          1","125 m²","15
                        Yaşında","2. Kat","Elektronik İlan Doğrulama Sistemi yetki doğrulaması yapılmıştır.","https://hecdn01.hemlak.com/img/eids-logo-mini.png","EİDS onaylı","İstanbul / Beşiktaş / Dikilitaş Mah.","https://www.hepsiemlak.com/emlak-ofisi/artistanbul-gayrimenkul-zorlu-center-98015/gulcin-gonul-2068637","https://hecdn01.hemlak.com/mncropresize/280/210/ds01/3/2/0/5/3/7/4/4/a08f0aad-06ea-48cd-99f0-1b7f01143882.jpg","https://hecdnnw.hemlak.com/mncropresize/77/67/firmuser/7/3/6/8/6/0/2/6bf57ef1-96dd-4954-a46c-ba149eff3f18.jpg","Artistanbul Gayrimenkul Zorlu Center","Gülçin
          Gönül",""
"https://www.hepsiemlak.com/istanbul-sisli-eskisehir-kiralik/daire/4497-4001","24","42.000","03-06-2025","Kiralık Daire","3 +
                          1","120 m²","6
                        Yaşında","Yüksek Giriş","Elektronik İlan Doğrulama Sistemi yetki doğrulaması yapılmıştır.","https://hecdn01.hemlak.com/img/eids-logo-mini.png","EİDS onaylı","İstanbul / Şişli / Eskişehir Mah.","https://www.hepsiemlak.com/emlak-ofisi/tekin-emlak-4497","https://hecdn01.hemlak.com/mncropresize/280/210/ds01/2/7/9/0/0/7/4/4/d2a4d448-b657-46a4-9618-dc3c1054ca0f.jpg","https://hecdnnw.hemlak.com/mncropresize/77/67/logo/7/9/4/4/0/0/1dc52cef-d318-46f7-a4f3-9e24185a61b1.jpg","Tekin Emlak","",""
"https://www.hepsiemlak.com/istanbul-sariyer-maden-kiralik/daire/136321-644","16","17.000","02-06-2025","Kiralık Daire","1 +
                          1","80 m²","27
                        Yaşında","Giriş Katı","","","","İstanbul / Sarıyer / Maden Mah.","https://www.hepsiemlak.com/emlak-ofisi/aylis-gayrimenkul-136321","https://hecdn01.hemlak.com/mncropresize/280/210/ds01/2/4/4/0/0/1/4/4/1742635287035-44100442.jpg","https://hecdnnw.hemlak.com/mncropresize/77/67/logo/1/2/3/6/3/1/f8deb28f-49ee-4a18-83be-3cf6db0a4acb.jpg","Aylis Gayrimenkul","",""
"https://www.hepsiemlak.com/istanbul-sariyer-buyukdere-kiralik/daire/136321-666","17","25.000","02-06-2025","Kiralık Daire","2 +
                          1","125 m²","13
                        Yaşında","Giriş Katı","","","","İstanbul / Sarıyer / Büyükdere Mah.","https://www.hepsiemlak.com/emlak-ofisi/aylis-gayrimenkul-136321","https://hecdn01.hemlak.com/mncropresize/280/210/ds01/2/3/6/0/2/2/4/4/1740039150030-44220632.jpg","https://hecdnnw.hemlak.com/mncropresize/77/67/logo/1/2/3/6/3/1/f8deb28f-49ee-4a18-83be-3cf6db0a4acb.jpg","Aylis Gayrimenkul","",""
"https://www.hepsiemlak.com/istanbul-sariyer-sariyer-merkez-kiralik/daire/136321-692","9","32.000","02-06-2025","Kiralık Daire","2 +
                          1","100 m²","25
                        Yaşında","2. Kat","","","","İstanbul / Sarıyer / Sarıyer Merkez Mah.","https://www.hepsiemlak.com/emlak-ofisi/aylis-gayrimenkul-136321/ayse-buran-3689229","https://hecdn01.hemlak.com/mncropresize/280/210/ds01/2/9/1/2/3/7/4/4/1748872547331-44732192.jpg","https://hecdnnw.hemlak.com/mncropresize/77/67/firmuser/9/2/2/9/8/6/3/3c91c0fb-9906-43d4-a7cc-e25f11cc20ab.jpg","Aylis Gayrimenkul","Ayşe
          Buran",""
"https://www.hepsiemlak.com/istanbul-kagithane-celiktepe-kiralik/daire/81240-12003","16","21.000","02-06-2025","Kiralık Daire","2 +
                          1","75 m²","27
                        Yaşında","Giriş Katı","Elektronik İlan Doğrulama Sistemi yetki doğrulaması yapılmıştır.","https://hecdn01.hemlak.com/img/eids-logo-mini.png","EİDS onaylı","İstanbul / Kağıthane / Çeliktepe Mah.","https://www.hepsiemlak.com/emlak-ofisi/artum-yapi-gayrimenkul-81240","https://hecdn01.hemlak.com/mncropresize/280/210/ds01/1/8/0/8/0/5/4/4/03c12340-4974-4956-b8bd-7a39c54ab5a0.jpg","https://hecdnnw.hemlak.com/mncropresize/77/67/logo/0/4/2/1/8/0/17a8d46c-7ef2-4c69-b583-9473739d5623.jpg","Artum Yapı Gayrimenkul","",""
"https://www.hepsiemlak.com/istanbul-sisli-harbiye-kiralik/daire/29818-434","19","220.000","02-06-2025","Kiralık Daire","2 +
                          1","110 m²","39
                        Yaşında","3. Kat","Elektronik İlan Doğrulama Sistemi yetki doğrulaması yapılmıştır.","https://hecdn01.hemlak.com/img/eids-logo-mini.png","EİDS onaylı","İstanbul / Şişli / Harbiye Mah.","https://www.hepsiemlak.com/emlak-ofisi/bizz-gayrimenkul-29818/nilay-bozkus-29818","https://hecdn01.hemlak.com/mncropresize/280/210/ds01/8/6/9/0/3/7/4/4/1748865397-22669-44730968.jpeg","https://hecdnnw.hemlak.com/mncropresize/77/67/firmuser/8/1/8/9/2/0/dde46a81-b40f-47dd-a668-d321b699993d.jpg","Bizz Gayrimenkul","Nilay
          Bozkuş",""
